"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\marti\Desktop\Platformer_v2\Bomb.py", "Python", 26, 0, 15, 41
"c:\Users\marti\Desktop\Platformer_v2\Bullet.py", "Python", 39, 0, 18, 57
"c:\Users\marti\Desktop\Platformer_v2\Camera.py", "Python", 13, 5, 7, 25
"c:\Users\marti\Desktop\Platformer_v2\Cell.py", "Python", 20, 0, 8, 28
"c:\Users\marti\Desktop\Platformer_v2\Display.py", "Python", 5, 0, 1, 6
"c:\Users\marti\Desktop\Platformer_v2\Enemy.py", "Python", 60, 1, 23, 84
"c:\Users\marti\Desktop\Platformer_v2\GameObject.py", "Python", 84, 4, 37, 125
"c:\Users\marti\Desktop\Platformer_v2\Main.py", "Python", 44, 0, 17, 61
"c:\Users\marti\Desktop\Platformer_v2\Maze.py", "Python", 82, 4, 51, 137
"c:\Users\marti\Desktop\Platformer_v2\Mediator.py", "Python", 23, 1, 6, 30
"c:\Users\marti\Desktop\Platformer_v2\Particle.py", "Python", 8, 0, 4, 12
"c:\Users\marti\Desktop\Platformer_v2\Player.py", "Python", 110, 0, 55, 165
"Total", "-", 514, 15, 242, 771
